location	variant	date	sequences
Alabama	21J	2021-12-12	10
Alaska	21J	2021-12-12	2
Arizona	21J	2021-12-12	128
Arkansas	21J	2021-12-12	5
California	21J	2021-12-12	567
Colorado	21J	2021-12-12	378
Connecticut	21J	2021-12-12	47
Delaware	21J	2021-12-12	25
Florida	21J	2021-12-12	51
Georgia	21J	2021-12-12	29
Hawaii	21J	2021-12-12	4
Idaho	21J	2021-12-12	4
Illinois	21J	2021-12-12	140
Indiana	21J	2021-12-12	66
Iowa	21J	2021-12-12	45
Kansas	21J	2021-12-12	39
Kentucky	21J	2021-12-12	82
Louisiana	21J	2021-12-12	2
Maine	21J	2021-12-12	12
Maryland	21J	2021-12-12	76
Massachusetts	21J	2021-12-12	293
Michigan	21J	2021-12-12	54
Minnesota	21J	2021-12-12	227
Mississippi	21J	2021-12-12	7
Missouri	21J	2021-12-12	37
Montana	21J	2021-12-12	4
Nebraska	21J	2021-12-12	29
Nevada	21J	2021-12-12	43
New Hampshire	21J	2021-12-12	17
New Jersey	21J	2021-12-12	67
New Mexico	21J	2021-12-12	85
New York	21J	2021-12-12	181
North Carolina	21J	2021-12-12	92
North Dakota	21J	2021-12-12	37
Ohio	21J	2021-12-12	45
Oklahoma	21J	2021-12-12	14
Oregon	21J	2021-12-12	16
Pennsylvania	21J	2021-12-12	110
Rhode Island	21J	2021-12-12	20
South Carolina	21J	2021-12-12	10
South Dakota	21J	2021-12-12	21
Tennessee	21J	2021-12-12	25
Texas	21J	2021-12-12	74
USA	21J	2021-12-12	10
Utah	21J	2021-12-12	47
Vermont	21J	2021-12-12	6
Virginia	21J	2021-12-12	32
Washington	21J	2021-12-12	63
Washington DC	21J	2021-12-12	10
West Virginia	21J	2021-12-12	88
Wisconsin	21J	2021-12-12	111
Wyoming	21J	2021-12-12	5
Alabama	21J	2021-12-13	16
Alaska	21J	2021-12-13	7
Arizona	21J	2021-12-13	308
Arkansas	21J	2021-12-13	27
California	21J	2021-12-13	1836
Colorado	21J	2021-12-13	419
Connecticut	21J	2021-12-13	121
Delaware	21J	2021-12-13	37
Florida	21J	2021-12-13	88
Georgia	21J	2021-12-13	51
Hawaii	21J	2021-12-13	8
Idaho	21J	2021-12-13	13
Illinois	21J	2021-12-13	262
Indiana	21J	2021-12-13	116
Iowa	21J	2021-12-13	75
Kansas	21J	2021-12-13	75
Kentucky	21J	2021-12-13	127
Louisiana	21J	2021-12-13	10
Maine	21J	2021-12-13	36
Maryland	21J	2021-12-13	173
Massachusetts	21J	2021-12-13	191
Michigan	21J	2021-12-13	214
Minnesota	21J	2021-12-13	462
