location	variant	date	sequences
Australia	B.1.1.529	2023-03-03	7
Canada	B.1.1.529	2023-03-03	19
Germany	B.1.1.529	2023-03-03	18
Israel	B.1.1.529	2023-03-03	1
Japan	B.1.1.529	2023-03-03	16
South Korea	B.1.1.529	2023-03-03	8
Spain	B.1.1.529	2023-03-03	2
USA	B.1.1.529	2023-03-03	40
United Kingdom	B.1.1.529	2023-03-03	9
Australia	B.1.1.529	2023-03-04	9
Canada	B.1.1.529	2023-03-04	11
Germany	B.1.1.529	2023-03-04	21
Japan	B.1.1.529	2023-03-04	9
South Korea	B.1.1.529	2023-03-04	59
Spain	B.1.1.529	2023-03-04	3
USA	B.1.1.529	2023-03-04	17
United Kingdom	B.1.1.529	2023-03-04	15
Australia	B.1.1.529	2023-03-05	5
Canada	B.1.1.529	2023-03-05	17
Germany	B.1.1.529	2023-03-05	10
Japan	B.1.1.529	2023-03-05	2
Mexico	B.1.1.529	2023-03-05	1
South Korea	B.1.1.529	2023-03-05	46
Spain	B.1.1.529	2023-03-05	1
USA	B.1.1.529	2023-03-05	16
United Kingdom	B.1.1.529	2023-03-05	6
Australia	B.1.1.529	2023-03-06	11
Brazil	B.1.1.529	2023-03-06	2
Canada	B.1.1.529	2023-03-06	24
Chile	B.1.1.529	2023-03-06	2
France	B.1.1.529	2023-03-06	37
Germany	B.1.1.529	2023-03-06	28
Japan	B.1.1.529	2023-03-06	25
Mexico	B.1.1.529	2023-03-06	1
South Korea	B.1.1.529	2023-03-06	12
Spain	B.1.1.529	2023-03-06	1
USA	B.1.1.529	2023-03-06	37
United Kingdom	B.1.1.529	2023-03-06	16
Australia	B.1.1.529	2023-03-07	10
Canada	B.1.1.529	2023-03-07	20
China	B.1.1.529	2023-03-07	1
France	B.1.1.529	2023-03-07	1
Germany	B.1.1.529	2023-03-07	12
Israel	B.1.1.529	2023-03-07	2
Japan	B.1.1.529	2023-03-07	29
South Korea	B.1.1.529	2023-03-07	23
Spain	B.1.1.529	2023-03-07	3
USA	B.1.1.529	2023-03-07	42
United Kingdom	B.1.1.529	2023-03-07	15
Australia	B.1.1.529	2023-03-08	16
Brazil	B.1.1.529	2023-03-08	3
Canada	B.1.1.529	2023-03-08	20
Germany	B.1.1.529	2023-03-08	10
Japan	B.1.1.529	2023-03-08	16
South Korea	B.1.1.529	2023-03-08	59
USA	B.1.1.529	2023-03-08	122
United Kingdom	B.1.1.529	2023-03-08	9
Australia	B.1.1.529	2023-03-09	6
Brazil	B.1.1.529	2023-03-09	1
Canada	B.1.1.529	2023-03-09	17
Chile	B.1.1.529	2023-03-09	1
France	B.1.1.529	2023-03-09	1
Germany	B.1.1.529	2023-03-09	18
Israel	B.1.1.529	2023-03-09	1
Japan	B.1.1.529	2023-03-09	26
South Korea	B.1.1.529	2023-03-09	60
Spain	B.1.1.529	2023-03-09	3
USA	B.1.1.529	2023-03-09	18
United Kingdom	B.1.1.529	2023-03-09	11
Australia	B.1.1.529	2023-03-10	5
Brazil	B.1.1.529	2023-03-10	1
Canada	B.1.1.529	2023-03-10	14
France	B.1.1.529	2023-03-10	1
Germany	B.1.1.529	2023-03-10	9
Israel	B.1.1.529	2023-03-10	1
Japan	B.1.1.529	2023-03-10	15
South Korea	B.1.1.529	2023-03-10	21
